"year","measure_id","state_fips","county_fips","correction","raw_value","ci_low","ci_high","numerator","denominator","other_data_1","other_data_1_ci_low","other_data_1_ci_high","other_data_1_flag","other_data_2","other_data_2_ci_low","other_data_2_ci_high","other_data_2_flag","other_data_3","other_data_3_ci_low","other_data_3_ci_high","other_data_3_flag","other_data_4","other_data_4_ci_low","other_data_4_ci_high","other_data_4_flag","reliability","rank_ready","display","show_details","state_min","state_max","trend_graph","last_updated","years_used"
2019,1,"39","000",0,8491.56053144204,8429.92423298787,8553.19682989622,163914,32460038,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,1,1,1,3929.83035721052,12469.3820967004,NA,"2019-02-01 17:22:00","2015-2017"
2019,1,"40","000",0,9331.45157547592,9224.03451228521,9438.86863866664,59766,11021350,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,1,1,1,5747.96947539273,14539.3945662595,NA,"2019-02-01 17:22:00","2015-2017"
2019,1,"41","000",0,6049.23231809485,5963.82019900103,6134.64443718867,46355,11449123,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,1,1,1,4108.89171709267,9286.53143177673,NA,"2019-02-01 17:22:00","2015-2017"
2019,1,"42","000",0,7483.09871130492,7427.360196926,7538.83722568384,163597,35421989,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,1,1,1,3928.46995238383,10478.8171288777,NA,"2019-02-01 17:22:00","2015-2017"
2019,1,"44","000",0,6123.10950841389,5949.51613033406,6296.70288649372,11456,2941165,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,1,1,1,4172.82238365178,6535.37602374083,NA,"2019-02-01 17:22:00","2015-2017"
2019,1,"45","000",0,8678.13632618272,8583.61301914173,8772.65963322371,73733,13928349,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,1,1,1,5709.04817043778,14613.5569682139,NA,"2019-02-01 17:22:00","2015-2017"
2019,1,"46","000",0,7339.7789153139,7126.35540659879,7553.20242402901,9632,2410564,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,1,1,1,4160.76569639566,29782.9375329397,NA,"2019-02-01 17:22:00","2015-2017"
2019,1,"47","000",0,9121.43686519819,9039.27137978402,9203.60235061236,104195,18709521,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,1,1,1,4051.51998689322,15071.2499872026,NA,"2019-02-01 17:22:00","2015-2017"
2019,1,"48","000",0,6681.3233641513,6648.12777616689,6714.51895213571,290962,79606167,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,1,1,1,4047.70191204001,14625.3165088822,NA,"2019-02-01 17:22:00","2015-2017"
2019,1,"49","000",0,6090.83792930293,5993.22241426464,6188.45344434123,24242,8758391,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,1,1,1,4266.07395472959,10683.0348895388,NA,"2019-02-01 17:22:00","2015-2017"
