"year","state_fips","total_counties","ranked_counties","range_1_min","range_1_max","range_2_min","range_2_max","range_3_min","range_3_max","range_4_min","range_4_max","range_5_min","range_5_max","not_ranked_min","not_ranked_max","last_updated"
2011,"12",67,67,1,17,18,34,35,50,51,67,NA,NA,NA,NA,"2015-07-27 14:13:00"
2011,"13",159,156,1,39,40,78,79,117,118,156,NA,NA,999,999,"2015-07-27 14:13:00"
2011,"15",5,4,1,1,2,2,3,3,4,4,NA,NA,999,999,"2015-07-27 14:13:00"
2011,"16",44,42,1,10,11,21,22,32,33,42,NA,NA,999,999,"2015-07-27 14:13:00"
2011,"17",102,102,1,26,27,51,52,76,77,102,NA,NA,NA,NA,"2015-07-27 14:13:00"
2011,"18",92,92,1,23,24,46,47,69,70,92,NA,NA,NA,NA,"2015-07-27 14:13:00"
2011,"19",99,99,1,25,26,50,51,74,75,99,NA,NA,NA,NA,"2015-07-27 14:13:00"
2011,"20",105,98,1,24,25,49,50,74,75,98,NA,NA,999,999,"2015-07-27 14:13:00"
2011,"21",120,120,1,30,31,60,61,90,91,120,NA,NA,NA,NA,"2015-07-27 14:13:00"
2011,"22",64,64,1,16,17,32,33,48,49,64,NA,NA,NA,NA,"2015-07-27 14:13:00"
2011,"23",16,16,1,4,5,8,9,12,13,16,NA,NA,NA,NA,"2015-07-27 14:13:00"
2011,"24",24,24,1,6,7,12,13,18,19,24,NA,NA,NA,NA,"2015-07-27 14:13:00"
2011,"25",14,14,1,4,5,7,8,10,11,14,NA,NA,NA,NA,"2015-07-27 14:13:00"
2011,"26",83,82,1,20,21,41,42,62,63,82,NA,NA,999,999,"2015-07-27 14:13:00"
2011,"27",87,85,1,21,22,42,43,64,65,85,NA,NA,999,999,"2015-07-27 14:13:00"
2011,"28",82,81,1,20,21,40,41,61,62,81,NA,NA,999,999,"2015-07-27 14:13:00"
2011,"29",115,114,1,28,29,57,58,86,87,114,NA,NA,999,999,"2015-07-27 14:13:00"
2011,"30",56,45,1,11,12,22,23,34,35,45,NA,NA,999,999,"2015-07-27 14:13:00"
2011,"31",93,75,1,19,20,38,39,56,57,75,NA,NA,999,999,"2015-07-27 14:13:00"
2011,"32",17,15,1,4,5,8,9,11,12,15,NA,NA,999,999,"2015-07-27 14:13:00"
2011,"33",10,10,1,2,3,5,6,8,9,10,NA,NA,NA,NA,"2015-07-27 14:13:00"
2011,"34",21,21,1,5,6,10,11,16,17,21,NA,NA,NA,NA,"2015-07-27 14:13:00"
2011,"35",33,32,1,8,9,16,17,24,25,32,NA,NA,999,999,"2015-07-27 14:13:00"
2011,"36",62,62,1,16,17,31,32,46,47,62,NA,NA,NA,NA,"2015-07-27 14:13:00"
2011,"37",100,100,1,25,26,50,51,75,76,100,NA,NA,NA,NA,"2015-07-27 14:13:00"
2011,"38",53,42,1,10,11,21,22,32,33,42,NA,NA,999,999,"2015-07-27 14:13:00"
2011,"39",88,88,1,22,23,44,45,66,67,88,NA,NA,NA,NA,"2015-07-27 14:13:00"
2011,"40",77,77,1,19,20,38,39,58,59,77,NA,NA,NA,NA,"2015-07-27 14:13:00"
2011,"41",36,33,1,8,9,16,17,25,26,33,NA,NA,999,999,"2015-07-27 14:13:00"
2011,"42",67,67,1,17,18,34,35,50,51,67,NA,NA,NA,NA,"2015-07-27 14:13:00"
2011,"44",5,5,1,1,2,2,3,3,4,4,5,5,NA,NA,"2015-07-27 14:13:00"
2011,"45",46,46,1,12,13,23,24,34,35,46,NA,NA,NA,NA,"2015-07-27 14:13:00"
2011,"46",66,55,1,14,15,28,29,41,42,55,NA,NA,999,999,"2015-07-27 14:13:00"
2011,"47",95,95,1,24,25,48,49,71,72,95,NA,NA,NA,NA,"2015-07-27 14:13:00"
2011,"48",254,223,1,56,57,112,113,167,168,223,NA,NA,999,999,"2015-07-27 14:13:00"
2011,"49",29,26,1,6,7,13,14,20,21,26,NA,NA,999,999,"2015-07-27 14:13:00"
2011,"50",14,14,1,4,5,7,8,10,11,14,NA,NA,NA,NA,"2015-07-27 14:13:00"
2011,"51",134,132,1,33,34,66,67,99,100,132,NA,NA,999,999,"2015-07-27 14:13:00"
2011,"53",39,39,1,10,11,20,21,29,30,39,NA,NA,NA,NA,"2015-07-27 14:13:00"
2011,"54",55,55,1,14,15,28,29,41,42,55,NA,NA,NA,NA,"2015-07-27 14:13:00"
2011,"55",72,72,1,18,19,36,37,54,55,72,NA,NA,NA,NA,"2015-07-27 14:13:00"
2011,"56",23,23,1,6,7,12,13,17,18,23,NA,NA,NA,NA,"2015-07-27 14:13:00"
2012,"01",67,67,1,17,18,34,35,50,51,67,NA,NA,NA,NA,"2015-07-27 14:13:00"
2012,"02",27,23,1,6,7,12,13,17,18,23,NA,NA,999,999,"2015-07-27 14:13:00"
2012,"04",15,15,1,4,5,8,9,11,12,15,NA,NA,NA,NA,"2015-07-27 14:13:00"
2012,"05",75,75,1,19,20,38,39,56,57,75,NA,NA,NA,NA,"2015-07-27 14:13:00"
2012,"06",58,56,1,14,15,28,29,42,43,56,NA,NA,999,999,"2015-07-27 14:13:00"
2012,"08",64,59,1,15,16,30,31,44,45,59,NA,NA,999,999,"2015-07-27 14:13:00"
2012,"09",8,8,1,2,3,4,5,6,7,8,NA,NA,NA,NA,"2015-07-27 14:13:00"
2012,"10",3,3,1,1,2,2,3,3,NA,NA,NA,NA,NA,NA,"2015-07-27 14:13:00"
2012,"11",1,1,1,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"2015-07-27 14:13:00"
2012,"12",67,67,1,17,18,34,35,50,51,67,NA,NA,NA,NA,"2015-07-27 14:13:00"
2012,"13",159,156,1,39,40,78,79,117,118,156,NA,NA,999,999,"2015-07-27 14:13:00"
2012,"15",5,4,1,1,2,2,3,3,4,4,NA,NA,999,999,"2015-07-27 14:13:00"
2012,"16",44,42,1,10,11,21,22,32,33,42,NA,NA,999,999,"2015-07-27 14:13:00"
2012,"17",102,102,1,26,27,51,52,76,77,102,NA,NA,NA,NA,"2015-07-27 14:13:00"
2012,"18",92,92,1,23,24,46,47,69,70,92,NA,NA,NA,NA,"2015-07-27 14:13:00"
2012,"19",99,99,1,25,26,50,51,74,75,99,NA,NA,NA,NA,"2015-07-27 14:13:00"
2012,"20",105,100,1,25,26,50,51,75,76,100,NA,NA,999,999,"2015-07-27 14:13:00"
2012,"21",120,120,1,30,31,60,61,90,91,120,NA,NA,NA,NA,"2015-07-27 14:13:00"
2012,"22",64,64,1,16,17,32,33,48,49,64,NA,NA,NA,NA,"2015-07-27 14:13:00"
2012,"23",16,16,1,4,5,8,9,12,13,16,NA,NA,NA,NA,"2015-07-27 14:13:00"
2012,"24",24,24,1,6,7,12,13,18,19,24,NA,NA,NA,NA,"2015-07-27 14:13:00"
2012,"25",14,14,1,4,5,7,8,10,11,14,NA,NA,NA,NA,"2015-07-27 14:13:00"
2012,"26",83,82,1,20,21,41,42,62,63,82,NA,NA,999,999,"2015-07-27 14:13:00"
2012,"27",87,84,1,21,22,42,43,63,64,84,NA,NA,999,999,"2015-07-27 14:13:00"
2012,"28",82,82,1,20,21,41,42,62,63,82,NA,NA,NA,NA,"2015-07-27 14:13:00"
2012,"29",115,115,1,29,30,58,59,86,87,115,NA,NA,NA,NA,"2015-07-27 14:13:00"
2012,"30",56,47,1,12,13,24,25,35,36,47,NA,NA,999,999,"2015-07-27 14:13:00"
2012,"31",93,79,1,20,21,40,41,59,60,79,NA,NA,999,999,"2015-07-27 14:13:00"
2012,"32",17,16,1,4,5,8,9,12,13,16,NA,NA,999,999,"2015-07-27 14:13:00"
2012,"33",10,10,1,2,3,5,6,8,9,10,NA,NA,NA,NA,"2015-07-27 14:13:00"
2012,"34",21,21,1,5,6,10,11,16,17,21,NA,NA,NA,NA,"2015-07-27 14:13:00"
2012,"35",33,32,1,8,9,16,17,24,25,32,NA,NA,999,999,"2015-07-27 14:13:00"
2012,"36",62,62,1,16,17,31,32,46,47,62,NA,NA,NA,NA,"2015-07-27 14:13:00"
2012,"37",100,100,1,25,26,50,51,75,76,100,NA,NA,NA,NA,"2015-07-27 14:13:00"
2012,"38",53,46,1,12,13,23,24,34,35,46,NA,NA,999,999,"2015-07-27 14:13:00"
2012,"39",88,88,1,22,23,44,45,66,67,88,NA,NA,NA,NA,"2015-07-27 14:13:00"
2012,"40",77,77,1,19,20,38,39,58,59,77,NA,NA,NA,NA,"2015-07-27 14:13:00"
2012,"41",36,33,1,8,9,16,17,25,26,33,NA,NA,999,999,"2015-07-27 14:13:00"
2012,"42",67,67,1,17,18,34,35,50,51,67,NA,NA,NA,NA,"2015-07-27 14:13:00"
2012,"44",5,5,1,1,2,2,3,3,4,4,5,5,NA,NA,"2015-07-27 14:13:00"
2012,"45",46,46,1,12,13,23,24,34,35,46,NA,NA,NA,NA,"2015-07-27 14:13:00"
2012,"46",66,59,1,15,16,30,31,44,45,59,NA,NA,999,999,"2015-07-27 14:13:00"
2012,"47",95,95,1,24,25,48,49,71,72,95,NA,NA,NA,NA,"2015-07-27 14:13:00"
2012,"48",254,221,1,55,56,110,111,166,167,221,NA,NA,999,999,"2015-07-27 14:13:00"
2012,"49",29,26,1,6,7,13,14,20,21,26,NA,NA,999,999,"2015-07-27 14:13:00"
2012,"50",14,14,1,4,5,7,8,10,11,14,NA,NA,NA,NA,"2015-07-27 14:13:00"
2012,"51",134,131,1,33,34,66,67,98,99,131,NA,NA,999,999,"2015-07-27 14:13:00"
2012,"53",39,39,1,10,11,20,21,29,30,39,NA,NA,NA,NA,"2015-07-27 14:13:00"
2012,"54",55,55,1,14,15,28,29,41,42,55,NA,NA,NA,NA,"2015-07-27 14:13:00"
2012,"55",72,72,1,18,19,36,37,54,55,72,NA,NA,NA,NA,"2015-07-27 14:13:00"
2012,"56",23,23,1,6,7,12,13,17,18,23,NA,NA,NA,NA,"2015-07-27 14:13:00"
2013,"01",67,67,1,17,18,34,35,50,51,67,NA,NA,NA,NA,"2015-07-27 14:13:00"
