"year","measure_id","state_fips","county_fips","correction","race_aian","race_aian_ci_low","race_aian_ci_high","race_aian_flag","race_asian","race_asian_ci_low","race_asian_ci_high","race_asian_flag","race_black","race_black_ci_low","race_black_ci_high","race_black_flag","race_hispanic","race_hispanic_ci_low","race_hispanic_ci_high","race_hispanic_flag","race_nhopi","race_nhopi_ci_low","race_nhopi_ci_high","race_nhopi_flag","race_tom","race_tom_ci_low","race_tom_ci_high","race_tom_flag","race_white","race_white_ci_low","race_white_ci_high","race_white_flag","last_updated"
2017,24,"01","063",0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.26,NA,NA,NA,"2017-02-10 12:07:00"
2017,24,"01","065",0,NA,NA,NA,NA,NA,NA,NA,NA,0.528094820017559,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.14344262295082,NA,NA,NA,"2017-02-10 12:07:00"
2017,24,"01","067",0,NA,NA,NA,NA,NA,NA,NA,NA,0.312118570183086,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.16566265060241,NA,NA,NA,"2017-02-10 12:07:00"
2017,24,"01","069",0,NA,NA,NA,NA,NA,NA,NA,NA,0.51842907981698,NA,NA,NA,0.526655896607431,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.156410076485861,NA,NA,NA,"2017-02-10 12:07:00"
2017,24,"01","071",0,NA,NA,NA,NA,NA,NA,NA,NA,0.680769230769231,NA,NA,NA,0.711111111111111,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.216743236345074,NA,NA,NA,"2017-02-10 12:07:00"
2017,24,"01","073",0,NA,NA,NA,NA,NA,NA,NA,NA,0.418337350404726,NA,NA,NA,0.490445859872611,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.0980861618390373,NA,NA,NA,"2017-02-10 12:07:00"
2017,24,"01","075",0,NA,NA,NA,NA,NA,NA,NA,NA,0.516666666666667,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.352619233776388,NA,NA,NA,"2017-02-10 12:07:00"
2017,24,"01","077",0,NA,NA,NA,NA,NA,NA,NA,NA,0.47371160853722,NA,NA,NA,0.48721071863581,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.207748344370861,NA,NA,NA,"2017-02-10 12:07:00"
2017,24,"01","079",0,NA,NA,NA,NA,NA,NA,NA,NA,0.254901960784314,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.237490377213241,NA,NA,NA,"2017-02-10 12:07:00"
2017,24,"01","081",0,NA,NA,NA,NA,NA,NA,NA,NA,0.431306684581794,NA,NA,NA,0.421468926553672,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.152030791046288,NA,NA,NA,"2017-02-10 12:07:00"
